Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
65, 137477, 34811, 86195, 51384, 101288, 8231, 93057, 14000, 2824, 9350, 6526, 11128, 788, 10340
66, 392920, 110931, 281325, 170394, 280220, 49640, 230580, 43933, 10605, 31214, 20609, 33262, 5120, 28142
67, 17046, 5913, 20988, 15075, 11220, 6113, 5107, 1280, 564, 2290, 1726, 719, 332, 387
68, 37068, 7014, 58213, 51199, 30065, 3828, 26237, 4362, 336, 6274, 5938, 4019, 424, 3595
69, 7615, 4474, 11829, 7355, 3119, 429, 2690, 635, 395, 1269, 874, 243, 1, 242
70, -2998, 438246, 1085985, 647739, -441506, 197093, -638599, -25619, 33924, 108425, 74501, -59693, 15257, -74950
71, -819, 782, 22527, 21745, -1604, 1640, -3244, -11153, -105, 2422, 2527, -11146, 103, -11249
72, 83495, 73617, 253180, 179563, 11213, 31157, -19944, 9272, 6613, 26892, 20279, 2740, 1547, 1193
73, 33878, 27663, 47474, 19811, 5746, 6228, -482, 3519, 2866, 5245, 2379, 641, -55, 696
74, 9195, 1074, 12549, 11475, 8139, 1088, 7051, 974, 58, 1406, 1348, 920, 170, 750
75, -28828, 14479, 212523, 198044, -42445, 36318, -78763, -5346, 539, 22003, 21464, -5817, 1433, -7250
76, 27231, 4026, 16346, 12320, 23102, -645, 23747, 4488, 312, 1815, 1503, 4159, -118, 4277
77, 36060, 16008, 28760, 12752, 19989, 12665, 7324, 3393, 1511, 3041, 1530, 1883, 1063, 820
78, 100179, 47495, 87988, 40493, 52570, 11220, 41350, 8589, 4645, 9688, 5043, 3922, 523, 3399
79, 17775, 9826, 22230, 12404, 7970, 5743, 2227, 1427, 897, 2324, 1427, 534, 534, 0
80, 70964, 25002, 86594, 61592, 46188, 13450, 32738, 6743, 1841, 9110, 7269, 4913, 1440, 3473
81, 12570, 15057, 42452, 27395, -3121, 7830, -10951, 2837, 1184, 4313, 3129, 1658, 358, 1300
82, 6996, 2922, 9717, 6795, 4104, 3974, 130, 1057, 281, 1015, 734, 780, 629, 151
83, 220263, 108626, 251291, 142665, 112154, 58853, 53301, 18077, 10392, 27096, 16704, 7778, 4032, 3746
84, 23999, 21115, 53060, 31945, 2943, 5884, -2941, 327, 1822, 5382, 3560, -1497, 392, -1889
85, 7472, 1494, 6730, 5236, 5963, 4555, 1408, 611, 117, 701, 584, 499, 331, 168
86, 48939, 10408, 31828, 21420, 38062, 3974, 34088, 7143, 814, 3472, 2658, 6294, 81, 6213
87, -5988, -2669, 8748, 11417, -3284, 583, -3867, -610, -328, 889, 1217, -279, 38, -317
88, 1206599, 517590, 903051, 385461, 686884, 237927, 448957, 117380, 50600, 97911, 47311, 66665, 20064, 46601
89, 2491, 6549, 17422, 10873, -4009, 625, -4634, 532, 527, 1780, 1253, 8, 62, -54
90, -5867, 484, 9452, 8968, -6361, 214, -6575, -944, -27, 918, 945, -918, 19, -937
91, 40969, 1650, 20641, 18991, 38880, 1343, 37537, 5379, -22, 2304, 2326, 5377, 80, 5297
92, -509, 8550, 43301, 34751, -8953, 5209, -14162, -872, 560, 4349, 3789, -1425, 362, -1787
93, 8331, 10890, 88783, 77893, -2113, 13473, -15586, 2523, 885, 9391, 8506, 1681, 785, 896
94, -1224, 915, 16512, 15597, -2051, 998, -3049, 459, 7, 1751, 1744, 464, 110, 354
95, -6768, 1045, 12367, 11322, -7840, 463, -8303, -495, 35, 1258, 1223, -530, 34, -564
96, 78077, -21838, 52064, 73902, 99352, 11264, 88088, 10179, -2823, 5740, 8563, 12953, 441, 12512
97, 423631, 162267, 320151, 157884, 257992, 61997, 195995, 35574, 14935, 34138, 19203, 20531, 7266, 13265
98, 92818, 40673, 85530, 44857, 51899, 11716, 40183, 8377, 4136, 9311, 5175, 4237, 519, 3718
99, 23402, 84753, 462696, 377943, -61318, 110907, -172225, -2455, 6728, 48879, 42151, -9139, 7516, -16655
100, 3718, 1157, 16420, 15263, 2667, 213, 2454, 1109, 34, 1749, 1715, 1080, 3, 1077
101, 18436, 6171, 20448, 14277, 12260, 2127, 10133, 2246, 370, 2127, 1757, 1874, 62, 1812
102, 3668, 2707, 11009, 8302, 1034, 815, 219, 389, 229, 1136, 907, 166, 60, 106
103, -1904, -1025, 26864, 27889, -609, 1537, -2146, -528, -270, 2746, 3016, -243, 76, -319
104, 80174, 25573, 65747, 40174, 54198, 19005, 35193, 6866, 2122, 7029, 4907, 4734, 1848, 2886
105, 430, 72, 13202, 13130, 344, 2408, -2064, 977, -73, 1545, 1618, 1064, 153, 911
106, 7921, 4752, 17465, 12713, 3273, 1041, 2232, 840, 476, 1808, 1332, 370, 95, 275
107, 6691, 18410, 27894, 9484, -11851, 2063, -13914, -308, 1649, 2728, 1079, -1967, 33, -2000
108, 5597, 6204, 18197, 11993, -784, 2157, -2941, 727, 506, 1888, 1382, 227, -76, 303
109, 8772, 13069, 28381, 15312, -4216, 985, -5201, 724, 1385, 3054, 1669, -661, 209, -870
110, -5391, 94, 8887, 8793, -5499, 356, -5855, -479, -84, 859, 943, -394, 17, -411
111, 40015, 74054, 121572, 47518, -34305, 18153, -52458, 2511, 6085, 11654, 5569, -3575, 225, -3800
112, 476, 2377, 8684, 6307, -1882, 1641, -3523, -39, 243, 864, 621, -283, 147, -430
113, -10856, 2456, 28804, 26348, -13316, 5680, -18996, -1816, 54, 2855, 2801, -1872, 525, -2397
114, 30362, 588, 32589, 32001, 29917, 5052, 24865, 3518, -206, 3425, 3631, 3717, 230, 3487
115, 3538, 4334, 34097, 29763, -558, 1942, -2500, 426, 161, 3448, 3287, 279, 274, 5
116, -736, 11008, 15436, 4428, -11928, 2339, -14267, -1716, 1027, 1533, 506, -2747, 16, -2763
117, 37368, 16854, 30570, 13716, 20299, 6674, 13625, 1834, 1793, 3362, 1569, 48, 516, -468
118, -6087, 6996, 16172, 9176, -13162, 109, -13271, -1541, 301, 1410, 1109, -1849, -12, -1837
119, 45708, 42745, 77225, 34480, 1623, 14235, -12612, 4258, 3985, 8096, 4111, 271, 363, -92
120, 94783, 32777, 64207, 31430, 61505, 10695, 50810, 9665, 3594, 7154, 3560, 6043, 266, 5777
121, 9050, 7792, 15157, 7365, 1238, 1311, -73, 953, 612, 1513, 901, 338, 25, 313
122, -19974, 4066, 45082, 41016, -24248, 1840, -26088, -875, 43, 4600, 4557, -909, 117, -1026
123, -665, 1762, 23172, 21410, -2246, 819, -3065, -125, -47, 2351, 2398, -69, 128, -197
124, 833, -2523, 14204, 16727, 3481, 767, 2714, 362, -349, 1506, 1855, 719, 108, 611
125, 1780, 1399, 10048, 8649, 432, 1265, -833, 402, 157, 1068, 911, 253, 74, 179
126, 57269, 11605, 31320, 19715, 45121, 4487, 40634, 6239, 1042, 3337, 2295, 5175, 537, 4638
127, 2128, 5187, 29653, 24466, -2941, 1267, -4208, 70, 559, 3228, 2669, -482, -24, -458
128, 24637, 20290, 51797, 31507, 4659, 5989, -1330, 4137, 2090, 5564, 3474, 2059, 759, 1300
129, 68594, 80755, 142608, 61853, -11772, 9639, -21411, 7151, 7039, 14506, 7467, 131, 479, -348
130, -2161, -1921, 10979, 12900, -142, 273, -415, -343, -312, 1175, 1487, -25, 37, -62
131, 24052, 7889, 31837, 23948, 16211, 10747, 5464, 1195, 528, 3366, 2838, 661, 800, -139
132, 24717, 10762, 23794, 13032, 13974, 1471, 12503, 2903, 986, 2586, 1600, 1903, 73, 1830
133, 1581, 189, 9396, 9207, 1470, 544, 926, -53, -53, 960, 1013, 4, 54, -50
