City,Tech_2010
"Springfield, MO (Metropolitan Statistical Area)",642006
"Springfield, OH (Metropolitan Statistical Area)",48517
"State College, PA (Metropolitan Statistical Area)",266371
"Staunton, VA (Metropolitan Statistical Area) *",342828
"Stockton, CA (Metropolitan Statistical Area)",387413
"Sumter, SC (Metropolitan Statistical Area)",49035
"Syracuse, NY (Metropolitan Statistical Area)",844151
"Tallahassee, FL (Metropolitan Statistical Area)",666942
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",6313055
"Terre Haute, IN (Metropolitan Statistical Area)",91008
"Texarkana, TX-AR (Metropolitan Statistical Area)",(D)
"The Villages, FL (Metropolitan Statistical Area)",8264
"Toledo, OH (Metropolitan Statistical Area)",613151
"Topeka, KS (Metropolitan Statistical Area)",(D)
"Trenton-Princeton, NJ (Metropolitan Statistical Area)",1668925
"Tucson, AZ (Metropolitan Statistical Area)",905072
"Tulsa, OK (Metropolitan Statistical Area)",1237437
"Tuscaloosa, AL (Metropolitan Statistical Area)",(D)
"Twin Falls, ID (Metropolitan Statistical Area)",68077
"Tyler, TX (Metropolitan Statistical Area)",361754
"Urban Honolulu, HI (Metropolitan Statistical Area)",1607762
"Utica-Rome, NY (Metropolitan Statistical Area)",284139
"Valdosta, GA (Metropolitan Statistical Area)",(D)
"Vallejo, CA (Metropolitan Statistical Area)",228747
"Victoria, TX (Metropolitan Statistical Area)",(D)
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",135390
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",(D)
"Visalia, CA (Metropolitan Statistical Area)",466688
"Waco, TX (Metropolitan Statistical Area)",262026
"Walla Walla, WA (Metropolitan Statistical Area)",54324
"Warner Robins, GA (Metropolitan Statistical Area)",50016
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",29586371
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",116020
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",89451
"Wausau-Weston, WI (Metropolitan Statistical Area)",99879
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",61083
"Wenatchee, WA (Metropolitan Statistical Area)",70418
"Wheeling, WV-OH (Metropolitan Statistical Area)",125237
"Wichita, KS (Metropolitan Statistical Area)",690194
"Wichita Falls, TX (Metropolitan Statistical Area)",(D)
"Williamsport, PA (Metropolitan Statistical Area)",144414
"Wilmington, NC (Metropolitan Statistical Area)",466980
"Winchester, VA-WV (Metropolitan Statistical Area) *",(D)
"Winston-Salem, NC (Metropolitan Statistical Area)",(D)
"Worcester, MA-CT (Metropolitan Statistical Area)",1095843
"Yakima, WA (Metropolitan Statistical Area)",107552
"York-Hanover, PA (Metropolitan Statistical Area)",986835
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",607473
"Yuba City, CA (Metropolitan Statistical Area)",68105
"Yuma, AZ (Metropolitan Statistical Area)",70158
